circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
HYDERABAD CENTRAL,AZAMABAD,BARKATPURA,VIDYA NAGAR,PARSIGUTTA,DOMESTIC,1,826,824.0,90789.0,947.38
HYDERABAD CENTRAL,AZAMABAD,BARKATPURA,VIDYA NAGAR,PARSIGUTTA WEST,DOMESTIC,1,398,397.0,46683.0,606.5
HYDERABAD CENTRAL,AZAMABAD,BARKATPURA,VIDYA NAGAR,PULLAIAH BAVI,DOMESTIC,1,1088,1085.0,125711.0,1454.74
HYDERABAD CENTRAL,AZAMABAD,BARKATPURA,VIDYA NAGAR,RLY.COLONY (ADIKMET),DOMESTIC,1,305,302.0,44518.0,631.86
HYDERABAD CENTRAL,AZAMABAD,BARKATPURA,VIDYA NAGAR,S.B.H.C. TO ARTS COLL.MAIN RD,DOMESTIC,1,1101,1071.0,152655.0,1993.85
HYDERABAD CENTRAL,MEHDIPATNAM,A.C.GUARDS,ASIFNAGAR,ZEBA BAGH B&D CLASS,DOMESTIC,1,1486,1465.0,239664.0,2047.76
HYDERABAD CENTRAL,MEHDIPATNAM,A.C.GUARDS,ASIFNAGAR,ZEBA BAGH COMPOUND,DOMESTIC,1,1333,1302.0,242832.0,2261.32
HYDERABAD CENTRAL,MEHDIPATNAM,A.C.GUARDS,VIJAYA NAGAR COLONY,A U COLLEGE AREA,DOMESTIC,1,789,754.0,160809.0,2077.04
HYDERABAD CENTRAL,MEHDIPATNAM,A.C.GUARDS,VIJAYA NAGAR COLONY,AFZAL SAGAR EAST,DOMESTIC,1,1061,1040.0,153021.0,1258.68
HYDERABAD CENTRAL,MEHDIPATNAM,A.C.GUARDS,VIJAYA NAGAR COLONY,ASIF NAGAR MAIN ROAD,DOMESTIC,1,472,438.0,100455.0,1251.14
HYDERABAD CENTRAL,MEHDIPATNAM,A.C.GUARDS,VIJAYA NAGAR COLONY,BAZAR GHAT MAIN RD,DOMESTIC,1,183,161.0,28736.0,274.56
HYDERABAD CENTRAL,MEHDIPATNAM,A.C.GUARDS,VIJAYA NAGAR COLONY,BHARATH GROUND AREA,DOMESTIC,1,816,808.0,141409.0,1255.9
HYDERABAD CENTRAL,MEHDIPATNAM,A.C.GUARDS,VIJAYA NAGAR COLONY,DEENDAR ANJUMAN,DOMESTIC,1,425,409.0,61622.0,651.92
HYDERABAD CENTRAL,MEHDIPATNAM,GOLCONDA,GOLCONDA,GARRISSION ENGINEERS,DOMESTIC,1,9,8.0,130228.0,614.0
HYDERABAD CENTRAL,MEHDIPATNAM,GOLCONDA,GOLCONDA,GOLCONDA HOSPITAL,DOMESTIC,1,929,870.0,93179.0,957.88
HYDERABAD CENTRAL,MEHDIPATNAM,GOLCONDA,GOLCONDA,GRC CT METERS,DOMESTIC,1,2,2.0,463.0,17.0
HYDERABAD CENTRAL,MEHDIPATNAM,GOLCONDA,GOLCONDA,GRC HV GOLCONDA,DOMESTIC,1,18,17.0,3844.0,121.0
HYDERABAD CENTRAL,MEHDIPATNAM,GOLCONDA,GOLCONDA,HEERA KHANA,DOMESTIC,1,1544,1462.0,177135.0,1637.26
